name,Status,objectiveValue,timeElapsed,simplexIterations,barrierIterations
D2Q06C,OPTIMAL,122784.21081418866,0.17,0,21
STOCFOR1,OPTIMAL,-41131.9762194364,0.0,39,0
SC50A,OPTIMAL,-64.57507705856449,0.02,21,0
25FV47,OPTIMAL,5501.845888286782,0.07,1920,0
SCRS8,OPTIMAL,904.2969538007915,0.03,303,0
STANDGUB,OPTIMAL,1257.6995000000002,0.0,21,0
CYCLE,OPTIMAL,-5.226393024894103,0.03,100,0
SHARE2B,OPTIMAL,-415.73224074141785,0.0,83,0
SC105,OPTIMAL,-52.2020612117072,0.0,32,0
SCSD8,OPTIMAL,904.9999999254644,0.05,893,0
PILOT.WE,OPTIMAL,-2720107.532845002,0.16,3942,0
GROW22,OPTIMAL,-160834336.48256287,0.05,1487,0
FIT2P,OPTIMAL,68464.29329383202,0.18,0,25
FIT1P,OPTIMAL,9146.378092420926,0.02,541,0
SHIP12S,OPTIMAL,1489236.1344061291,0.01,475,0
SHIP12L,OPTIMAL,1470187.9193292647,0.04,852,0
SC205,OPTIMAL,-52.20206121170724,0.0,79,0
WOODW,OPTIMAL,1.3044763330842293,0.05,526,0
BEACONFD,OPTIMAL,33592.4858072,0.0,0,0
SCFXM3,OPTIMAL,54901.25454975145,0.05,856,0
SCSD6,OPTIMAL,50.500000078262374,0.01,254,0
ADLITTLE,OPTIMAL,225494.96316238045,0.0,86,0
SHIP04L,OPTIMAL,1793324.5379703557,0.01,325,0
BORE3D,OPTIMAL,1373.0803942084924,0.03,34,0
GANGES,OPTIMAL,-109585.736129278,0.03,157,0
PILOTNOV,OPTIMAL,-4497.276188218871,0.07,1192,0
GROW7,OPTIMAL,-47787811.81471135,0.0,326,0
SCFXM2,OPTIMAL,36660.26156499881,0.02,553,0
PILOT87,OPTIMAL,301.7103473332117,0.78,0,46
DEGEN2,OPTIMAL,-1435.1779999999997,0.01,353,0
STANDMPS,OPTIMAL,1406.0175000000002,0.0,92,0
SC50B,OPTIMAL,-70.0,0.0,10,0
BOEING1,OPTIMAL,-335.2135675071265,0.01,398,0
RECIPE,OPTIMAL,-266.61599999999993,0.0,32,0
SHARE1B,OPTIMAL,-76589.31857918565,0.03,114,0
BRANDY,OPTIMAL,1518.509896488128,0.01,117,0
MODSZK1,OPTIMAL,320.6197290642449,0.03,69,0
ETAMACRO,OPTIMAL,-755.7152286740874,0.01,536,0
SCTAP2,OPTIMAL,1724.807142857143,0.01,275,0
MAROS,OPTIMAL,-58063.743701126004,0.03,927,0
GROW15,OPTIMAL,-106870941.29357533,0.04,1373,0
BOEING2,OPTIMAL,-315.01872801520284,0.0,103,0
AGG2,OPTIMAL,-20239252.355977103,0.0,113,0
FIT2D,OPTIMAL,-68464.29329383206,0.16,190,0
SCTAP3,OPTIMAL,1424.0,0.01,368,0
AGG,OPTIMAL,-35991767.2865765,0.01,93,0
PILOT4,OPTIMAL,-2581.1392612818754,0.04,699,0
SCORPION,OPTIMAL,1878.1248227381066,0.01,54,0
SEBA,OPTIMAL,15711.599999999999,0.0,0,0
STAIR,OPTIMAL,-251.2669511929628,0.01,156,0
SCAGR25,OPTIMAL,-14753433.060768522,0.0,437,0
80BAU3B,OPTIMAL,987224.1924090901,0.12,2897,0
BNL2,OPTIMAL,1811.2365403585454,0.07,1058,0
BANDM,OPTIMAL,-158.6280184501211,0.02,356,0
NESM,OPTIMAL,14076036.487562746,0.1,5,47
FIT1D,OPTIMAL,-9146.378092420931,0.01,87,0
D6CUBE,OPTIMAL,315.4916666666667,0.1,442,0
TUFF,OPTIMAL,0.29214776509361284,0.0,128,0
SHIP08L,OPTIMAL,1909055.2113891311,0.03,510,0
SHELL,OPTIMAL,1208825346.0,0.01,228,0
SHIP04S,OPTIMAL,1798714.7004453922,0.03,230,0
KB2,OPTIMAL,-1749.9001299062056,0.02,39,0
GREENBEA,OPTIMAL,-72555248.12984599,0.16,0,40
CAPRI,OPTIMAL,2690.012913768161,0.03,128,0
SCSD1,OPTIMAL,8.666666674333365,0.01,95,0
DEGEN3,OPTIMAL,-987.294,0.09,1330,0
SCAGR7,OPTIMAL,-2331389.8243309837,0.0,105,0
BNL1,OPTIMAL,1977.629561522891,0.04,734,0
ISRAEL,OPTIMAL,-896644.8218630459,0.03,125,0
SCTAP1,OPTIMAL,1412.25,0.02,154,0
AGG3,OPTIMAL,10312115.935089227,0.03,112,0
SHIP08S,OPTIMAL,1920098.2105346199,0.01,325,0
CZPROB,OPTIMAL,2185196.6988565777,0.03,639,0
WOOD1P,OPTIMAL,1.4429024115734101,0.05,98,0
FINNIS,OPTIMAL,172791.06559561158,0.01,208,0
STANDATA,OPTIMAL,1257.6995000000002,0.0,21,0
AFIRO,OPTIMAL,-464.7531428571428,0.02,5,0
STOCFOR2,OPTIMAL,-39024.40853788203,0.02,861,0
TEST,OPTIMAL,-244.6738032592299,0.0,8,0
PILOT.JA,OPTIMAL,-6113.136465705143,0.08,1923,0
GREENBEB,OPTIMAL,-4302260.261206587,0.12,10,29
PILOT,OPTIMAL,-557.4897292840851,0.37,3,46
E226,OPTIMAL,-11.638929066370551,0.0,270,0
SCFXM1,OPTIMAL,18416.759028348944,0.01,258,0
VTP.BASE,OPTIMAL,129831.46246136139,0.0,36,0
PEROLD,OPTIMAL,-9380.755278235087,0.04,1073,0
MAROS-R7,OPTIMAL,1497185.166479641,0.36,0,13
FFFFF800,OPTIMAL,555679.564817496,0.01,249,0
LOTFI,OPTIMAL,-25.264706061879995,0.0,113,0
